wavelength_nm; Transmission
1531; 81.56567383
1530; 81.63346863
1529; 81.59373474
1528; 81.60473633
1527; 81.8192215
1526; 81.77407837
1525; 81.78720093
1524; 81.82829285
1523; 81.93955231
1522; 81.95965576
1521; 81.98335266
1520; 82.04884338
1519; 82.12443542
1518; 82.07830811
1517; 82.08287048
1516; 82.18308258
1515; 82.26992035
1514; 82.2596283
1513; 82.20635986
1512; 82.1414032
1511; 82.32528687
1510; 82.13340759
1509; 82.17879486
1508; 82.10629272
1507; 82.2248764
1506; 82.18543243
1505; 82.18357849
1504; 82.02391052
1503; 82.00819397
1502; 82.06024933
1501; 82.04998779
1500; 82.10138702
1499; 82.04785919
1498; 81.89844513
1497; 81.87268066
1496; 81.90679932
1495; 81.82817078
1494; 81.97247314
1493; 81.83309174
1492; 81.6390686
1491; 81.77157593
1490; 81.64190674
1489; 81.76783752
1488; 81.74932861
1487; 81.63277435
1486; 81.63653564
1485; 81.70600891
1484; 81.6138916
1483; 81.58654022
1482; 81.48949432
1481; 81.49813843
1480; 81.52021027
1479; 81.48596191
1478; 81.42307281
1477; 81.46834564
1476; 81.44706726
1475; 81.3429718
1474; 81.38899994
1473; 81.28686523
1472; 81.4418869
1471; 81.41295624
1470; 81.29148865
1469; 81.41744995
1468; 81.31327057
1467; 81.32516479
1466; 81.3662262
1465; 81.29067993
1464; 81.37570953
1463; 81.29627991
1462; 81.30388641
1461; 81.30866241
1460; 81.28318024
1459; 81.20191193
1458; 81.25559998
1457; 81.14361572
1456; 81.22253418
1455; 81.19510651
1454; 81.19629669
1453; 81.10617065
1452; 81.14524841
1451; 81.08688354
1450; 81.08100891
1449; 81.07246399
1448; 80.97799683
1447; 81.04153442
1446; 80.89682007
1445; 80.91429138
1444; 80.92620087
1443; 80.71966553
1442; 80.73110962
1441; 80.63002777
1440; 80.57408142
1439; 80.63393402
1438; 80.51174164
1437; 80.48461914
1436; 80.46874237
1435; 80.39188385
1434; 80.40853882
1433; 80.24667358
1432; 80.29174805
1431; 80.19116211
1430; 80.10183716
1429; 80.31976318
1428; 80.30056763
1427; 80.34144592
1426; 80.35839844
1425; 80.52380371
1424; 80.57582855
1423; 80.83023834
1422; 81.01655579
1421; 81.1696167
1420; 81.31867981
1419; 81.50091553
1418; 81.63417816
1417; 81.82463074
1416; 82.02024841
1415; 82.12657928
1414; 82.10961151
1413; 82.28005219
1412; 82.24237823
1411; 82.4542923
1410; 82.56819153
1409; 82.53913116
1408; 82.70220947
1407; 82.57834625
1406; 82.64729309
1405; 82.69820404
1404; 82.6539917
1403; 82.71360779
1402; 82.74017334
1401; 82.66742706
1400; 82.63965607
1399; 82.63132477
1398; 82.57125092
1397; 82.6018219
1396; 82.52274323
1395; 82.52631378
1394; 82.56671906
1393; 82.5019455
1392; 82.51622772
1391; 82.5486145
1390; 82.4681778
1389; 82.47741699
1388; 82.50821686
1387; 82.55698395
1386; 82.5246582
1385; 82.49982452
1384; 82.55957031
1383; 82.48804474
1382; 82.47389984
1381; 82.52763367
1380; 82.44616699
1379; 82.45575714
1378; 82.52074432
1377; 82.58782959
1376; 82.48902893
1375; 82.54470825
1374; 82.62727356
1373; 82.59916687
1372; 82.72807312
1371; 82.74752808
1370; 82.76174927
1369; 82.82067871
1368; 82.74499512
1367; 82.79965973
1366; 82.85024261
1365; 82.87273407
1364; 82.8717804
1363; 83.00502014
1362; 82.90620422
1361; 82.88444519
1360; 83.03907013
1359; 83.07645416
1358; 83.0916748
1357; 83.02553558
1356; 83.02928925
1355; 83.16681671
1354; 83.20932007
1353; 83.2029953
1352; 83.31504059
1351; 83.34005737
1350; 83.34687042
1349; 83.35101318
1348; 83.41976166
1347; 83.44264221
1346; 83.48455811
1345; 83.61771393
1344; 83.50630188
1343; 83.56212616
1342; 83.53106689
1341; 83.60187531
1340; 83.61668396
1339; 83.65570068
1338; 83.70548248
1337; 83.61417389
1336; 83.71948242
1335; 83.68997192
1334; 83.76579285
1333; 83.68904877
1332; 83.77061462
1331; 83.71580505
1330; 83.84622955
1329; 83.77709961
1328; 83.78128052
1327; 83.77544403
1326; 83.84035492
1325; 83.92886353
1324; 83.76272583
1323; 83.91784668
1322; 83.84023285
1321; 83.88265228
1320; 83.93038177
1319; 84.00454712
1318; 83.94636536
1317; 83.96594238
1316; 84.10404968
